config,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
SHORT:vwap_loss+below_vwap+below_pivot+rvol_thrust_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_vwap+below_pivot+rvol_thrust_dn|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_vwap+below_pivot+rvol_thrust_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_vwap+below_pivot+rvol_thrust_dn|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_vwap+macd_x_dn+macd_x_dn_pos|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+below_vwap+macd_x_dn+macd_x_dn_pos|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+below_vwap+macd_x_dn_pos+cvd_dn|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+below_vwap+macd_x_dn_pos+cvd_dn|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+adi_dn+macd_x_dn+macd_x_dn_pos|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+adi_dn+macd_x_dn+macd_x_dn_pos|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+adi_dn+macd_x_dn_pos+cvd_dn|nk0.0|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+adi_dn+macd_x_dn_pos+cvd_dn|nk0.5|vm0.8|full_0845_1400,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,53.3
SHORT:vwap_loss+below_pivot+weak_close+rvol_thrust_dn|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_pivot+weak_close+rvol_thrust_dn|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_pivot+weak_close+rvol_thrust_dn|nk0.5|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_pivot+weak_close+rvol_thrust_dn|nk0.5|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_pivot+weak_close+below_vwap_v|nk0.0|vm0.8|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
SHORT:vwap_loss+below_pivot+weak_close+below_vwap_v|nk0.0|vm1.2|am_0845_1130,6,0.1,6,0,0,100.0,100.0,inf,1.8,0.0,26.7
